iteration,time,similarity,outfile
0,0,9.4243,final_report_data/contours/nonrigid/nonrigid_iter0.xyz
1,0.234399,7.68817,final_report_data/contours/nonrigid/nonrigid_iter1_sim7.688172.xyz
2,0.466044,6.56975,final_report_data/contours/nonrigid/nonrigid_iter2_sim6.569747.xyz
3,0.693619,5.80002,final_report_data/contours/nonrigid/nonrigid_iter3_sim5.800023.xyz
4,0.911718,5.18658,final_report_data/contours/nonrigid/nonrigid_iter4_sim5.186580.xyz
5,1.12866,4.64386,final_report_data/contours/nonrigid/nonrigid_iter5_sim4.643858.xyz
6,1.34162,4.15127,final_report_data/contours/nonrigid/nonrigid_iter6_sim4.151265.xyz
7,1.55707,3.73302,final_report_data/contours/nonrigid/nonrigid_iter7_sim3.733024.xyz
8,1.77215,3.38774,final_report_data/contours/nonrigid/nonrigid_iter8_sim3.387738.xyz
9,1.99136,3.11572,final_report_data/contours/nonrigid/nonrigid_iter9_sim3.115722.xyz
10,2.20393,2.9334,final_report_data/contours/nonrigid/nonrigid_iter10_sim2.933401.xyz
11,2.42248,2.77519,final_report_data/contours/nonrigid/nonrigid_iter11_sim2.775193.xyz
12,2.631,2.64696,final_report_data/contours/nonrigid/nonrigid_iter12_sim2.646964.xyz
13,2.8426,2.54935,final_report_data/contours/nonrigid/nonrigid_iter13_sim2.549348.xyz
14,3.05363,2.47784,final_report_data/contours/nonrigid/nonrigid_iter14_sim2.477836.xyz
15,3.26729,2.42119,final_report_data/contours/nonrigid/nonrigid_iter15_sim2.421190.xyz
16,3.49303,2.37351,final_report_data/contours/nonrigid/nonrigid_iter16_sim2.373511.xyz
17,3.73267,2.33175,final_report_data/contours/nonrigid/nonrigid_iter17_sim2.331751.xyz
18,3.94379,2.29586,final_report_data/contours/nonrigid/nonrigid_iter18_sim2.295855.xyz
19,4.15029,2.26487,final_report_data/contours/nonrigid/nonrigid_iter19_sim2.264868.xyz
20,4.35532,2.23764,final_report_data/contours/nonrigid/nonrigid_iter20_sim2.237643.xyz
21,4.58083,2.21432,final_report_data/contours/nonrigid/nonrigid_iter21_sim2.214322.xyz
22,4.79722,2.1943,final_report_data/contours/nonrigid/nonrigid_iter22_sim2.194300.xyz
23,5.0124,2.17688,final_report_data/contours/nonrigid/nonrigid_iter23_sim2.176880.xyz
24,5.22569,2.161,final_report_data/contours/nonrigid/nonrigid_iter24_sim2.161001.xyz
25,5.43013,2.14578,final_report_data/contours/nonrigid/nonrigid_iter25_sim2.145781.xyz
26,5.643,2.13077,final_report_data/contours/nonrigid/nonrigid_iter26_sim2.130773.xyz
27,5.8527,2.11602,final_report_data/contours/nonrigid/nonrigid_iter27_sim2.116018.xyz
28,6.06354,2.10153,final_report_data/contours/nonrigid/nonrigid_iter28_sim2.101531.xyz
29,6.26967,2.08731,final_report_data/contours/nonrigid/nonrigid_iter29_sim2.087306.xyz
30,6.48623,2.07376,final_report_data/contours/nonrigid/nonrigid_iter30_sim2.073763.xyz
31,6.70266,2.06131,final_report_data/contours/nonrigid/nonrigid_iter31_sim2.061311.xyz
32,6.93504,2.04992,final_report_data/contours/nonrigid/nonrigid_iter32_sim2.049923.xyz
33,7.14436,2.03983,final_report_data/contours/nonrigid/nonrigid_iter33_sim2.039833.xyz
34,7.36275,2.03125,final_report_data/contours/nonrigid/nonrigid_iter34_sim2.031251.xyz
35,7.57896,2.02386,final_report_data/contours/nonrigid/nonrigid_iter35_sim2.023856.xyz
36,7.78812,2.01797,final_report_data/contours/nonrigid/nonrigid_iter36_sim2.017966.xyz
37,7.99278,2.01345,final_report_data/contours/nonrigid/nonrigid_iter37_sim2.013451.xyz
38,8.20128,2.00992,final_report_data/contours/nonrigid/nonrigid_iter38_sim2.009919.xyz
39,8.40257,2.00795,final_report_data/contours/nonrigid/nonrigid_iter39_sim2.007948.xyz
40,8.66597,2.00697,final_report_data/contours/nonrigid/nonrigid_iter40_sim2.006969.xyz
41,8.87865,2.00711,final_report_data/contours/nonrigid/nonrigid_iter41_sim2.007109.xyz
42,9.10451,2.00822,final_report_data/contours/nonrigid/nonrigid_iter42_sim2.008217.xyz
