iteration,time,similarity,outfile
0,0,1.13531,final_report_data/fiducials/nonrigid/nonrigid_iter0.xyz
1,0.000374188,1.07391,final_report_data/fiducials/nonrigid/nonrigid_iter1_sim1.073913.xyz
2,0.000855059,1.00903,final_report_data/fiducials/nonrigid/nonrigid_iter2_sim1.009031.xyz
3,0.00290533,0.878855,final_report_data/fiducials/nonrigid/nonrigid_iter3_sim0.878855.xyz
4,0.00921744,0.751106,final_report_data/fiducials/nonrigid/nonrigid_iter4_sim0.751106.xyz
5,0.0234831,0.637115,final_report_data/fiducials/nonrigid/nonrigid_iter5_sim0.637115.xyz
6,0.0377049,0.526546,final_report_data/fiducials/nonrigid/nonrigid_iter6_sim0.526546.xyz
7,0.0494679,0.41867,final_report_data/fiducials/nonrigid/nonrigid_iter7_sim0.418670.xyz
8,0.0611553,0.319503,final_report_data/fiducials/nonrigid/nonrigid_iter8_sim0.319503.xyz
9,0.0732163,0.231969,final_report_data/fiducials/nonrigid/nonrigid_iter9_sim0.231969.xyz
10,0.0845496,0.164187,final_report_data/fiducials/nonrigid/nonrigid_iter10_sim0.164187.xyz
11,0.118265,0.124887,final_report_data/fiducials/nonrigid/nonrigid_iter11_sim0.124887.xyz
12,0.131776,0.107899,final_report_data/fiducials/nonrigid/nonrigid_iter12_sim0.107899.xyz
13,0.1433,0.0949594,final_report_data/fiducials/nonrigid/nonrigid_iter13_sim0.094959.xyz
14,0.154749,0.054977,final_report_data/fiducials/nonrigid/nonrigid_iter14_sim0.054977.xyz
15,0.167586,0.0263444,final_report_data/fiducials/nonrigid/nonrigid_iter15_sim0.026344.xyz
16,0.179086,0.00337385,final_report_data/fiducials/nonrigid/nonrigid_iter16_sim0.003374.xyz
17,0.191209,5.68534e-05,final_report_data/fiducials/nonrigid/nonrigid_iter17_sim0.000057.xyz
18,0.204371,6.43677e-06,final_report_data/fiducials/nonrigid/nonrigid_iter18_sim0.000006.xyz
