iteration,time,similarity,outfile,error
0,0,0,final_report_data/synthetic/affine/affine_iter0.xyz,0.5233933555982522
1,3.6314,0.227161,final_report_data/synthetic/affine/affine_iter1_sim0.227161.xyz,0.375729291074962
2,7.23069,0.185343,final_report_data/synthetic/affine/affine_iter2_sim0.185343.xyz,0.2966780080579048
3,10.9677,0.155556,final_report_data/synthetic/affine/affine_iter3_sim0.155556.xyz,0.2138302880606223
4,15.1777,0.120491,final_report_data/synthetic/affine/affine_iter4_sim0.120491.xyz,0.14038776619692925
5,19.6689,0.0943862,final_report_data/synthetic/affine/affine_iter5_sim0.094386.xyz,0.08492214354520435
6,24.0943,0.0737964,final_report_data/synthetic/affine/affine_iter6_sim0.073796.xyz,0.042323806984040695
7,29.1443,0.0584387,final_report_data/synthetic/affine/affine_iter7_sim0.058439.xyz,0.022923545105225072
8,33.8246,0.0491083,final_report_data/synthetic/affine/affine_iter8_sim0.049108.xyz,0.015133914179523604
9,38.3156,0.0426145,final_report_data/synthetic/affine/affine_iter9_sim0.042615.xyz,0.011198038169792857
10,42.9453,0.038276,final_report_data/synthetic/affine/affine_iter10_sim0.038276.xyz,0.009079579946332246
11,48.3601,0.0355733,final_report_data/synthetic/affine/affine_iter11_sim0.035573.xyz,0.00792232511741259
12,53.1481,0.0339697,final_report_data/synthetic/affine/affine_iter12_sim0.033970.xyz,0.0072764914733599384
13,57.4476,0.0328679,final_report_data/synthetic/affine/affine_iter13_sim0.032868.xyz,0.006908674872165133
14,61.7336,0.0321778,final_report_data/synthetic/affine/affine_iter14_sim0.032178.xyz,0.00669702505357132
15,66.6962,0.0318194,final_report_data/synthetic/affine/affine_iter15_sim0.031819.xyz,0.006577041031649479
16,70.9325,0.0316613,final_report_data/synthetic/affine/affine_iter16_sim0.031661.xyz,0.006513344366116305
17,75.1754,0.0315991,final_report_data/synthetic/affine/affine_iter17_sim0.031599.xyz,0.00648538264985146
18,79.425,0.0315906,final_report_data/synthetic/affine/affine_iter18_sim0.031591.xyz,0.00648048944736494
19,84.0261,0.0316121,final_report_data/synthetic/affine/affine_iter19_sim0.031612.xyz,0.006490450380931053
20,88.3607,0.0316471,final_report_data/synthetic/affine/affine_iter20_sim0.031647.xyz,0.006509739892261608
21,92.8462,0.031684,final_report_data/synthetic/affine/affine_iter21_sim0.031684.xyz,0.006534546549279315
22,97.5435,0.0317251,final_report_data/synthetic/affine/affine_iter22_sim0.031725.xyz,0.006562219725293089
23,102.041,0.0317622,final_report_data/synthetic/affine/affine_iter23_sim0.031762.xyz,0.006590907936318766
24,106.822,0.0317966,final_report_data/synthetic/affine/affine_iter24_sim0.031797.xyz,0.0066193474113993575
25,111.354,0.0318288,final_report_data/synthetic/affine/affine_iter25_sim0.031829.xyz,0.006646696676176868
26,115.884,0.0318595,final_report_data/synthetic/affine/affine_iter26_sim0.031859.xyz,0.006672437641973151
27,120.408,0.0318858,final_report_data/synthetic/affine/affine_iter27_sim0.031886.xyz,0.006696268079009119
28,125.286,0.0319104,final_report_data/synthetic/affine/affine_iter28_sim0.031910.xyz,0.006718058807369871
29,130.163,0.0319346,final_report_data/synthetic/affine/affine_iter29_sim0.031935.xyz,0.006737790372733476
30,134.8,0.0319576,final_report_data/synthetic/affine/affine_iter30_sim0.031958.xyz,0.006755514698906867
