iteration,time,similarity,outfile,error
0,0,0.189413,final_report_data/synthetic/nonrigid/nonrigid_iter0.xyz,0.5233933555982522
1,9.49873,0.170579,final_report_data/synthetic/nonrigid/nonrigid_iter1_sim0.170579.xyz,0.3501415155510108
2,20.389,0.144061,final_report_data/synthetic/nonrigid/nonrigid_iter2_sim0.144061.xyz,0.26887939422968965
3,31.935,0.116666,final_report_data/synthetic/nonrigid/nonrigid_iter3_sim0.116666.xyz,0.18863955408825012
4,45.028,0.0956888,final_report_data/synthetic/nonrigid/nonrigid_iter4_sim0.095689.xyz,0.1197368257185958
5,57.2198,0.0779072,final_report_data/synthetic/nonrigid/nonrigid_iter5_sim0.077907.xyz,0.07282389771414778
6,69.2481,0.0644092,final_report_data/synthetic/nonrigid/nonrigid_iter6_sim0.064409.xyz,0.04550057927191722
7,81.2649,0.0556089,final_report_data/synthetic/nonrigid/nonrigid_iter7_sim0.055609.xyz,0.030820082737556667
8,93.316,0.0494359,final_report_data/synthetic/nonrigid/nonrigid_iter8_sim0.049436.xyz,0.02227484696317478
9,105.345,0.0444041,final_report_data/synthetic/nonrigid/nonrigid_iter9_sim0.044404.xyz,0.016982756779768494
10,118.098,0.0406673,final_report_data/synthetic/nonrigid/nonrigid_iter10_sim0.040667.xyz,0.013632287265224925
11,132.524,0.0379019,final_report_data/synthetic/nonrigid/nonrigid_iter11_sim0.037902.xyz,0.011462500427998354
12,144.181,0.0358495,final_report_data/synthetic/nonrigid/nonrigid_iter12_sim0.035849.xyz,0.010011950711579282
13,157.387,0.0343878,final_report_data/synthetic/nonrigid/nonrigid_iter13_sim0.034388.xyz,0.009006554926706914
14,172.03,0.0333129,final_report_data/synthetic/nonrigid/nonrigid_iter14_sim0.033313.xyz,0.008288464747228694
15,184.603,0.0326172,final_report_data/synthetic/nonrigid/nonrigid_iter15_sim0.032617.xyz,0.00776272390955349
16,197.536,0.0320825,final_report_data/synthetic/nonrigid/nonrigid_iter16_sim0.032083.xyz,0.007368108733925023
17,210.363,0.0316673,final_report_data/synthetic/nonrigid/nonrigid_iter17_sim0.031667.xyz,0.007069647271016801
18,222.855,0.0313659,final_report_data/synthetic/nonrigid/nonrigid_iter18_sim0.031366.xyz,0.006841108896433565
19,237.911,0.0311596,final_report_data/synthetic/nonrigid/nonrigid_iter19_sim0.031160.xyz,0.006662625642658461
20,251.285,0.0310637,final_report_data/synthetic/nonrigid/nonrigid_iter20_sim0.031064.xyz,0.006529045908596116
21,264.245,0.0309924,final_report_data/synthetic/nonrigid/nonrigid_iter21_sim0.030992.xyz,0.006426508738584253
22,277.008,0.0309463,final_report_data/synthetic/nonrigid/nonrigid_iter22_sim0.030946.xyz,0.006348986516855807
23,289.514,0.030944,final_report_data/synthetic/nonrigid/nonrigid_iter23_sim0.030944.xyz,0.006290155638787956
24,301.9,0.0309357,final_report_data/synthetic/nonrigid/nonrigid_iter24_sim0.030936.xyz,0.006247426699071573
25,315.12,0.0309417,final_report_data/synthetic/nonrigid/nonrigid_iter25_sim0.030942.xyz,0.006219676367253593
26,326.625,0.0309639,final_report_data/synthetic/nonrigid/nonrigid_iter26_sim0.030964.xyz,0.006199879009666048
27,338.159,0.0309461,final_report_data/synthetic/nonrigid/nonrigid_iter27_sim0.030946.xyz,0.006186183068045284
28,349.756,0.0309499,final_report_data/synthetic/nonrigid/nonrigid_iter28_sim0.030950.xyz,0.006180025835278025
29,362.176,0.0309435,final_report_data/synthetic/nonrigid/nonrigid_iter29_sim0.030943.xyz,0.006176031747919074
30,373.776,0.0309724,final_report_data/synthetic/nonrigid/nonrigid_iter30_sim0.030972.xyz,0.006177511479801188
