iteration,time,similarity,outfile,error
0,0,0,final_report_data/synthetic/rigid/rigid_iter0.xyz,0.5233933555982522
1,3.83386,0.235819,final_report_data/synthetic/rigid/rigid_iter1_sim0.235819.xyz,0.40237323863015895
2,8.78301,0.20812,final_report_data/synthetic/rigid/rigid_iter2_sim0.208120.xyz,0.313739064919606
3,12.8109,0.172088,final_report_data/synthetic/rigid/rigid_iter3_sim0.172088.xyz,0.20635387898440657
4,16.7817,0.126676,final_report_data/synthetic/rigid/rigid_iter4_sim0.126676.xyz,0.1113816156261589
5,20.7002,0.089739,final_report_data/synthetic/rigid/rigid_iter5_sim0.089739.xyz,0.05581393207871394
6,24.8481,0.0684564,final_report_data/synthetic/rigid/rigid_iter6_sim0.068456.xyz,0.031909053881325894
7,29.8128,0.056933,final_report_data/synthetic/rigid/rigid_iter7_sim0.056933.xyz,0.022043347199899952
8,35.2578,0.0496495,final_report_data/synthetic/rigid/rigid_iter8_sim0.049650.xyz,0.017414953193991008
9,41.158,0.0448019,final_report_data/synthetic/rigid/rigid_iter9_sim0.044802.xyz,0.015010757084226639
10,45.8203,0.0416324,final_report_data/synthetic/rigid/rigid_iter10_sim0.041632.xyz,0.01371468027221856
11,51.2757,0.0396037,final_report_data/synthetic/rigid/rigid_iter11_sim0.039604.xyz,0.013014676930870543
12,56.6805,0.0383899,final_report_data/synthetic/rigid/rigid_iter12_sim0.038390.xyz,0.012643773050255455
13,63.3373,0.0376385,final_report_data/synthetic/rigid/rigid_iter13_sim0.037638.xyz,0.012455967230329849
14,68.3473,0.0372185,final_report_data/synthetic/rigid/rigid_iter14_sim0.037219.xyz,0.012370444360591886
15,72.903,0.0369786,final_report_data/synthetic/rigid/rigid_iter15_sim0.036979.xyz,0.012341634859797833
16,77.3777,0.0368646,final_report_data/synthetic/rigid/rigid_iter16_sim0.036865.xyz,0.012343298562253453
17,81.9328,0.0368144,final_report_data/synthetic/rigid/rigid_iter17_sim0.036814.xyz,0.012360215156045485
18,86.4648,0.0368094,final_report_data/synthetic/rigid/rigid_iter18_sim0.036809.xyz,0.012383647486740375
19,91.2638,0.0368277,final_report_data/synthetic/rigid/rigid_iter19_sim0.036828.xyz,0.01240875644928793
20,95.9556,0.0368506,final_report_data/synthetic/rigid/rigid_iter20_sim0.036851.xyz,0.01243297926184424
21,100.546,0.0368782,final_report_data/synthetic/rigid/rigid_iter21_sim0.036878.xyz,0.012455114804215817
22,105.115,0.0369067,final_report_data/synthetic/rigid/rigid_iter22_sim0.036907.xyz,0.012474710222394962
23,110.365,0.0369349,final_report_data/synthetic/rigid/rigid_iter23_sim0.036935.xyz,0.012491701915155109
24,115.172,0.0369624,final_report_data/synthetic/rigid/rigid_iter24_sim0.036962.xyz,0.012506261313981519
25,119.782,0.0369881,final_report_data/synthetic/rigid/rigid_iter25_sim0.036988.xyz,0.012518617370220765
26,124.432,0.0370118,final_report_data/synthetic/rigid/rigid_iter26_sim0.037012.xyz,0.012529027293530167
27,129.064,0.0370333,final_report_data/synthetic/rigid/rigid_iter27_sim0.037033.xyz,0.012537758458586847
28,133.72,0.0370523,final_report_data/synthetic/rigid/rigid_iter28_sim0.037052.xyz,0.012545070152062583
29,138.351,0.0370691,final_report_data/synthetic/rigid/rigid_iter29_sim0.037069.xyz,0.012551164144849128
30,142.976,0.0370839,final_report_data/synthetic/rigid/rigid_iter30_sim0.037084.xyz,0.012556250356135234
