iteration,time,similarity,outfile,error
0,0,0.189413,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter0.xyz,0.5233933555982522
1,11.1099,0.216975,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter1_sim0.216975.xyz,0.38221013079314825
2,22.3102,0.154511,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter2_sim0.154511.xyz,0.3393089179541365
3,33.5979,0.109676,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter3_sim0.109676.xyz,0.32150199409275726
4,44.7256,0.0848824,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter4_sim0.084882.xyz,0.31433020788516836
5,56.2501,0.0745219,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter5_sim0.074522.xyz,0.3135766276014737
6,67.3857,0.0676248,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter6_sim0.067625.xyz,0.3179250537420855
7,78.5856,0.0616046,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter7_sim0.061605.xyz,0.321998348166126
8,90.0367,0.0556571,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter8_sim0.055657.xyz,0.32632038679401126
9,101.232,0.0511384,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter9_sim0.051138.xyz,0.32947586159720743
10,112.574,0.0469323,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter10_sim0.046932.xyz,0.33112298196053835
11,123.668,0.0429412,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter11_sim0.042941.xyz,0.33229944204240486
12,134.827,0.0392601,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter12_sim0.039260.xyz,0.3334193049955669
13,146.001,0.0359304,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter13_sim0.035930.xyz,0.3345215154231422
14,158.376,0.0332114,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter14_sim0.033211.xyz,0.33582833306811305
15,169.63,0.0315082,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter15_sim0.031508.xyz,0.337158034433604
16,181.276,0.0297723,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter16_sim0.029772.xyz,0.3383653283293043
17,192.721,0.027741,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter17_sim0.027741.xyz,0.33937060172658834
18,203.872,0.0259321,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter18_sim0.025932.xyz,0.34014818164228783
19,215.209,0.0244633,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter19_sim0.024463.xyz,0.3407698466001463
20,226.435,0.0232684,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter20_sim0.023268.xyz,0.3412651242572378
21,238.041,0.0223642,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter21_sim0.022364.xyz,0.34164034421829526
22,249.282,0.0216345,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter22_sim0.021634.xyz,0.34187590961065295
23,260.544,0.0209816,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter23_sim0.020982.xyz,0.34204406116550934
24,272.087,0.0204524,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter24_sim0.020452.xyz,0.3421465291565639
25,283.342,0.0199856,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter25_sim0.019986.xyz,0.3422767623464321
26,294.63,0.0196126,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter26_sim0.019613.xyz,0.3423710304694711
27,305.996,0.019262,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter27_sim0.019262.xyz,0.34245070218991847
28,317.44,0.0189296,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter28_sim0.018930.xyz,0.3425131145352182
29,328.732,0.0186009,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter29_sim0.018601.xyz,0.34253500636005274
30,339.923,0.0183365,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter30_sim0.018336.xyz,0.3425783938204165
31,351.491,0.0181206,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter31_sim0.018121.xyz,0.3425803479268444
32,362.644,0.0179303,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter32_sim0.017930.xyz,0.34263217978545785
33,373.842,0.017734,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter33_sim0.017734.xyz,0.34262492990235904
34,385.089,0.0175843,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter34_sim0.017584.xyz,0.3426440238497053
35,396.414,0.0174707,final_report_data/synthetic/w0-2_lambda0-1_beta0-2/nonrigid_iter35_sim0.017471.xyz,0.3426132205623921
