iteration,time,similarity,outfile,error,error,error
0,0,0.189413,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter0.xyz,0.5233933555982522,0.5233933555982522,0.5233933555982522
1,11.2196,0.217144,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter1_sim0.217144.xyz,0.38216128380458864,0.38216128380458864,0.38216128380458864
2,22.3228,0.155792,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter2_sim0.155792.xyz,0.3386129547234499,0.3386129547234499,0.3386129547234499
3,33.4526,0.115812,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter3_sim0.115812.xyz,0.31625937793501013,0.31625937793501013,0.31625937793501013
4,44.7361,0.0920346,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter4_sim0.092035.xyz,0.2969417659540674,0.2969417659540674,0.2969417659540674
5,56.0182,0.0795919,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter5_sim0.079592.xyz,0.28073916756864975,0.28073916756864975,0.28073916756864975
6,67.1773,0.0696314,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter6_sim0.069631.xyz,0.27292104652696225,0.27292104652696225,0.27292104652696225
7,78.2742,0.0614039,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter7_sim0.061404.xyz,0.2679540562252649,0.2679540562252649,0.2679540562252649
8,91.224,0.0536303,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter8_sim0.053630.xyz,0.26531963166407424,0.26531963166407424,0.26531963166407424
9,107.216,0.0478184,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter9_sim0.047818.xyz,0.2627042857513939,0.2627042857513939,0.2627042857513939
10,119.821,0.0436451,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter10_sim0.043645.xyz,0.25950463835100307,0.25950463835100307,0.25950463835100307
11,135.572,0.040035,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter11_sim0.040035.xyz,0.256607566224651,0.256607566224651,0.256607566224651
12,149.604,0.0370583,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter12_sim0.037058.xyz,0.2543269997241452,0.2543269997241452,0.2543269997241452
13,161.547,0.0347568,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter13_sim0.034757.xyz,0.2528526739750108,0.2528526739750108,0.2528526739750108
14,174.372,0.0339225,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter14_sim0.033923.xyz,0.2519885601483357,0.2519885601483357,0.2519885601483357
15,188.083,0.0334091,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter15_sim0.033409.xyz,0.2518822651012811,0.2518822651012811,0.2518822651012811
16,203.029,0.033368,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter16_sim0.033368.xyz,0.2518352006829939,0.2518352006829939,0.2518352006829939
17,216.125,0.0330089,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter17_sim0.033009.xyz,0.2519972477021812,0.2519972477021812,0.2519972477021812
18,231.633,0.0332454,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter18_sim0.033245.xyz,0.25192009072220223,0.25192009072220223,0.25192009072220223
19,248.608,0.0331746,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter19_sim0.033175.xyz,0.2515969068243385,0.2515969068243385,0.2515969068243385
20,264.092,0.0332099,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter20_sim0.033210.xyz,0.2512448778309806,0.2512448778309806,0.2512448778309806
21,278.308,0.0328145,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter21_sim0.032815.xyz,0.2512220911753958,0.2512220911753958,0.2512220911753958
22,292.488,0.0329317,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter22_sim0.032932.xyz,0.25048486552218935,0.25048486552218935,0.25048486552218935
23,305.805,0.0329321,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter23_sim0.032932.xyz,0.2502535114715033,0.2502535114715033,0.2502535114715033
24,318.693,0.0327294,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter24_sim0.032729.xyz,0.24975434487588025,0.24975434487588025,0.24975434487588025
25,330.85,0.0327655,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter25_sim0.032766.xyz,0.24892134728057025,0.24892134728057025,0.24892134728057025
26,343.927,0.0327523,final_report_data/synthetic/w0-2_lambda0-1_beta1/nonrigid_iter26_sim0.032752.xyz,0.2481777052852825,0.2481777052852825,0.2481777052852825
