iteration,time,similarity,outfile,error,error
0,0,0.189413,final_report_data/synthetic/w0-2_lambda0-1_beta10/nonrigid_iter0.xyz,0.5233933555982522,0.5233933555982522
1,12.9312,0.222571,final_report_data/synthetic/w0-2_lambda0-1_beta10/nonrigid_iter1_sim0.222571.xyz,0.37467345898382187,0.37467345898382187
2,24.8933,0.177083,final_report_data/synthetic/w0-2_lambda0-1_beta10/nonrigid_iter2_sim0.177083.xyz,0.3015378880041478,0.3015378880041478
3,36.2957,0.143536,final_report_data/synthetic/w0-2_lambda0-1_beta10/nonrigid_iter3_sim0.143536.xyz,0.22561686618288895,0.22561686618288895
4,50.088,0.115252,final_report_data/synthetic/w0-2_lambda0-1_beta10/nonrigid_iter4_sim0.115252.xyz,0.15594251390780559,0.15594251390780559
5,62.7017,0.0995734,final_report_data/synthetic/w0-2_lambda0-1_beta10/nonrigid_iter5_sim0.099573.xyz,0.09737783627242866,0.09737783627242866
6,75.4401,0.0857753,final_report_data/synthetic/w0-2_lambda0-1_beta10/nonrigid_iter6_sim0.085775.xyz,0.056937404522898964,0.056937404522898964
7,88.5557,0.0703035,final_report_data/synthetic/w0-2_lambda0-1_beta10/nonrigid_iter7_sim0.070304.xyz,0.03430006041515018,0.03430006041515018
8,100.204,0.0562532,final_report_data/synthetic/w0-2_lambda0-1_beta10/nonrigid_iter8_sim0.056253.xyz,0.020445275417837614,0.020445275417837614
9,113.234,0.0463755,final_report_data/synthetic/w0-2_lambda0-1_beta10/nonrigid_iter9_sim0.046375.xyz,0.01242961806060245,0.01242961806060245
10,126.104,0.0388023,final_report_data/synthetic/w0-2_lambda0-1_beta10/nonrigid_iter10_sim0.038802.xyz,0.00776203828144716,0.00776203828144716
11,138.202,0.0318615,final_report_data/synthetic/w0-2_lambda0-1_beta10/nonrigid_iter11_sim0.031862.xyz,0.004922574366968558,0.004922574366968558
12,150.232,0.0273204,final_report_data/synthetic/w0-2_lambda0-1_beta10/nonrigid_iter12_sim0.027320.xyz,0.003244457784214172,0.003244457784214172
13,162.307,0.0236571,final_report_data/synthetic/w0-2_lambda0-1_beta10/nonrigid_iter13_sim0.023657.xyz,0.0022406846540651997,0.0022406846540651997
14,174.971,0.0212185,final_report_data/synthetic/w0-2_lambda0-1_beta10/nonrigid_iter14_sim0.021219.xyz,0.0017043056349435584,0.0017043056349435584
15,187.535,0.0200931,final_report_data/synthetic/w0-2_lambda0-1_beta10/nonrigid_iter15_sim0.020093.xyz,0.001332814483452451,0.001332814483452451
