iteration,time,similarity,outfile,error
0,0,0.189413,final_report_data/synthetic/w0-5_lambda0-1_beta200/nonrigid_iter0.xyz,0.5233933555982522
1,12.9671,0.16133,final_report_data/synthetic/w0-5_lambda0-1_beta200/nonrigid_iter1_sim0.161330.xyz,0.3666230238275876
2,26.2554,0.142831,final_report_data/synthetic/w0-5_lambda0-1_beta200/nonrigid_iter2_sim0.142831.xyz,0.29082239113695163
3,37.5873,0.120738,final_report_data/synthetic/w0-5_lambda0-1_beta200/nonrigid_iter3_sim0.120738.xyz,0.22126203579626164
4,49.5109,0.100476,final_report_data/synthetic/w0-5_lambda0-1_beta200/nonrigid_iter4_sim0.100476.xyz,0.15721323094651904
5,60.988,0.0838168,final_report_data/synthetic/w0-5_lambda0-1_beta200/nonrigid_iter5_sim0.083817.xyz,0.10794862867258527
6,72.4888,0.0711197,final_report_data/synthetic/w0-5_lambda0-1_beta200/nonrigid_iter6_sim0.071120.xyz,0.07371174840246006
7,84.289,0.0632715,final_report_data/synthetic/w0-5_lambda0-1_beta200/nonrigid_iter7_sim0.063272.xyz,0.052274334463878795
8,95.1073,0.0566448,final_report_data/synthetic/w0-5_lambda0-1_beta200/nonrigid_iter8_sim0.056645.xyz,0.038668390780969564
9,105.872,0.0509029,final_report_data/synthetic/w0-5_lambda0-1_beta200/nonrigid_iter9_sim0.050903.xyz,0.029060697510495268
10,116.735,0.0486005,final_report_data/synthetic/w0-5_lambda0-1_beta200/nonrigid_iter10_sim0.048601.xyz,0.0236395416867984
11,127.609,0.0450996,final_report_data/synthetic/w0-5_lambda0-1_beta200/nonrigid_iter11_sim0.045100.xyz,0.01977859831955037
12,138.914,0.0414595,final_report_data/synthetic/w0-5_lambda0-1_beta200/nonrigid_iter12_sim0.041460.xyz,0.015816291302262784
13,150.23,0.0397203,final_report_data/synthetic/w0-5_lambda0-1_beta200/nonrigid_iter13_sim0.039720.xyz,0.014009507725207229
14,161.455,0.0385177,final_report_data/synthetic/w0-5_lambda0-1_beta200/nonrigid_iter14_sim0.038518.xyz,0.01338157075424536
15,172.596,0.0440872,final_report_data/synthetic/w0-5_lambda0-1_beta200/nonrigid_iter15_sim0.044087.xyz,0.013484581175609097
16,183.859,0.0612125,final_report_data/synthetic/w0-5_lambda0-1_beta200/nonrigid_iter16_sim0.061213.xyz,0.018613918820230075
17,195.058,0.041148,final_report_data/synthetic/w0-5_lambda0-1_beta200/nonrigid_iter17_sim0.041148.xyz,0.015838891813760452
18,206.414,0.0416783,final_report_data/synthetic/w0-5_lambda0-1_beta200/nonrigid_iter18_sim0.041678.xyz,0.014756983670680816
